"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Previous ID(s)","Chromosome","Ortholog count","Ortholog Group","Paralog count","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Transcript Length"
"PCHAS_0100100","PCHAS_0100100.1","P. chabaudi chabaudi","PCHAS_01_v3:1,745..3,349(+)","fam-a protein","Previous IDs: PC402960.00.0;PC405906.00.0;PCHAS_010010","01","0","OG5_173922","5","6","6","1","null","null","903"
"PCHAS_0100200","PCHAS_0100200.1","P. chabaudi chabaudi","PCHAS_01_v3:4,328..5,422(-)","PIR protein","Previous IDs: PCHAS_010020","01","371","OG5_127056","6","3","3","1","null","null","894"
"PCHAS_0100300","PCHAS_0100300.1","P. chabaudi chabaudi","PCHAS_01_v3:8,111..9,256(-)","PIR protein","Previous IDs: PC500050.00.0;PCAS_010030;PCHAS_010030","01","536","OG5_126782","27","3","3","1","null","null","903"
"PCHAS_0100400","PCHAS_0100400.1","P. chabaudi chabaudi","PCHAS_01_v3:11,070..13,360(-)","PIR protein","Previous IDs: PC102272.00.0;PC106057.00.0;PC106058.00.0;PCAS_010040;PCHAS_010040","01","51","OG5_161539","6","3","3","1","null","null","2061"
"PCHAS_0100500","PCHAS_0100500.1","P. chabaudi chabaudi","PCHAS_01_v3:17,437..19,057(+)","fam-a protein","Previous IDs: PC402494.00.0;PCAS_010050;PCHAS_010050","01","1","OG5_pcha|PCHAS_010050","0","6","6","1","null","null","921"
"PCHAS_0100600","PCHAS_0100600.1","P. chabaudi chabaudi","PCHAS_01_v3:25,096..28,941(+)","conserved rodent malaria protein, unknown function","Previous IDs: PC101840.00.0;PC103352.00.0;PC105513.00.0;PC402215.00.0;PC404043.00.0;PCAS_010060;PCHAS_010060","01","26","OG5_144536","1","1","1","1","null","null","3846"
"PCHAS_0100651","PCHAS_0100651.1","P. chabaudi chabaudi","PCHAS_01_v3:33,224..33,898(+)","conserved rodent malaria protein, unknown function","null","01","5","OG5_243278","1","2","2","1","null","null","423"
"PCHAS_0100700","PCHAS_0100700.1","P. chabaudi chabaudi","PCHAS_01_v3:35,185..35,955(-)","fam-c protein","Previous IDs: PCHAS_010070","01","6","OG5_205342","0","2","2","1","null","null","606"
"PCHAS_0100800","PCHAS_0100800.1","P. chabaudi chabaudi","PCHAS_01_v3:37,692..38,437(-)","PIR protein","Previous IDs: PC401930.00.0;PCAS_010080;PCHAS_010080","01","2","OG5_pcha|PCHAS_010080","1","3","3","1","null","null","450"
"PCHAS_0100900","PCHAS_0100900.1","P. chabaudi chabaudi","PCHAS_01_v3:39,860..41,030(+)","Plasmodium exported protein, unknown function","Previous IDs: PC105304.00.0;PCAS_010090;PCHAS_010090","01","43","OG5_158090","0","2","2","1","null","null","1002"
"PCHAS_0101000","PCHAS_0101000.1","P. chabaudi chabaudi","PCHAS_01_v3:43,752..45,203(+)","lysophospholipase, putative","Previous IDs: PC000062.00.0;PC000118.03.0;PCAS_010100;PCHAS_010100","01","28","OG5_157164","3","1","1","1","null","null","1452"
"PCHAS_0101100","PCHAS_0101100.1","P. chabaudi chabaudi","PCHAS_01_v3:47,138..49,095(+)","reticulocyte binding protein, putative","Previous IDs: PC000783.00.0;PCAS_010110;PCHAS_010110","01","8","OG5_184617","0","2","2","1","null","null","1857"
"PCHAS_0101200","PCHAS_0101200.1","P. chabaudi chabaudi","PCHAS_01_v3:50,365..51,801(-)","PIR protein","Previous IDs: PC400319.00.0;PC400436.00.0;PCAS_010120;PCHAS_010120","01","33","OG5_173782","0","3","3","1","null","null","1056"
"PCHAS_0101300","PCHAS_0101300.1","P. chabaudi chabaudi","PCHAS_01_v3:53,208..53,699(+)","schizont membrane associated cytoadherence protein, putative","Previous IDs: PC100051.00.0;PCAS_010130;PCHAS_010130","01","6","OG5_205343","0","1","1","1","null","null","492"
"PCHAS_0101400","PCHAS_0101400.1","P. chabaudi chabaudi","PCHAS_01_v3:55,833..57,248(+)","Plasmodium exported protein, unknown function","Previous IDs: PC100859.00.0;PCAS_010140;PCHAS_010140","01","6","OG5_205344","0","2","2","1","null","null","1221"
"PCHAS_0101500","PCHAS_0101500.1","P. chabaudi chabaudi","PCHAS_01_v3:58,355..62,524(-)","zinc finger protein, putative","Previous IDs: PC000376.00.0;PC000467.00.0;PCAS_010150;PCHAS_010150","01","47","OG5_143213","0","1","1","1","null","null","4170"
"PCHAS_0101600","PCHAS_0101600.1","P. chabaudi chabaudi","PCHAS_01_v3:67,036..71,036(+)","ATP-dependent RNA helicase, putative","Previous IDs: PC000378.05.0;PC000427.02.0;PC000529.03.0;PCAS_010160;PCHAS_010160","01","44","OG5_127259","0","2","2","1","null","null","3882"
